team,seasonweek,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
KAN,202202,0.0,0.060322206,0.0,0.0043921326,0.0,0.0,0.19723524,0.21047069,0.090625785,0.044852592,0.016514735,0.0,0.0,0.028170345,0.0831936,0.0
KAN,202203,0.0,0.12813564,0.0,0.0,0.0,0.0,0.23088591,0.05016768,0.0,0.0,0.14415272,0.18316379,0.028352661,0.0,0.0,0.0
KAN,202204,0.0,0.0,0.18013735,0.020419437,0.0,0.16679926,0.24783695,0.0,0.20584022,0.0,0.0,0.0473488,0.0,0.0,0.0,0.0
KAN,202205,0.0,0.05673963,0.10864684,0.037728004,0.071152896,0.11668675,0.098026246,0.0005981639,0.0,0.0,0.0,0.13788138,0.0,0.14450191,0.12711497,0.0
KAN,202206,0.23288651,0.0,0.22330497,0.0,0.08595651,0.057974074,0.0,0.15155716,0.099084735,0.16108888,0.18943328,0.0,0.0,0.0,0.28360343,0.17297049
KAN,202207,0.0,0.0,0.040686183,0.0,0.043667935,0.0,0.0,0.0,0.0,0.27032718,0.0,0.09260377,0.0,0.0,0.27235162,0.20974362
KAN,202209,0.1860002,0.064745866,0.0,0.14786804,0.0,0.0,0.12624994,0.15671805,0.0,0.035454493,0.3533299,0.0,0.0,0.0,0.0,0.0
KAN,202210,0.0,0.0,0.105031915,0.12153849,0.09744941,0.0,0.0,0.0,0.012573612,0.14468211,0.0,0.0,0.0,0.0,0.11342202,0.0
KAN,202211,0.03080225,0.13055074,0.110197425,0.1998722,0.0,0.3509051,0.0,0.10711905,0.0,0.16771133,0.0,0.0,0.0,0.2020055,0.1375643,0.022268787
KAN,202212,0.23845269,0.0,0.0,0.0,0.0,0.2637111,0.021033268,0.17629573,0.12785172,0.21494997,0.0,0.06639594,0.21874897,0.33413923,0.0,0.0
KAN,202213,0.0,0.0,0.0,0.1039607,0.0,0.0,0.1656599,0.32053366,0.0,0.08378718,0.15953358,0.0,0.16163117,0.1628461,0.124132864,0.0
KAN,202214,0.12916051,0.0,0.0,0.0,0.0,0.14956488,0.0,0.08308961,0.0,0.13008082,0.0,0.1816557,0.20232742,0.0,0.37316176,0.180662
