week,away_team,home_team,winner,A_attn_0,A_attn_1,A_attn_2,A_attn_3,A_attn_4,A_attn_5,A_attn_6,A_attn_7,A_attn_8,A_attn_9,A_attn_10,A_attn_11,A_attn_12,A_attn_13,A_attn_14,A_attn_15,A_attn_16,A_attn_17,A_attn_18,A_attn_19,A_attn_20,A_attn_21,A_attn_22,A_attn_23,A_attn_24,A_attn_25,A_attn_26,A_attn_27,A_attn_28,A_attn_29,A_attn_30,A_attn_31,B_attn_0,B_attn_1,B_attn_2,B_attn_3,B_attn_4,B_attn_5,B_attn_6,B_attn_7,B_attn_8,B_attn_9,B_attn_10,B_attn_11,B_attn_12,B_attn_13,B_attn_14,B_attn_15,B_attn_16,B_attn_17,B_attn_18,B_attn_19,B_attn_20,B_attn_21,B_attn_22,B_attn_23,B_attn_24,B_attn_25,B_attn_26,B_attn_27,B_attn_28,B_attn_29,B_attn_30,B_attn_31
202401,WAS,TAM,TAM,0.15744199,0.11889967,0.020762518,-0.14624852,0.28355592,0.1380879,0.26516834,0.14223659,-0.43515277,-0.071866564,0.24485973,-0.057354357,-0.3853595,0.081555076,0.06549737,0.039140414,-0.2864975,0.2105847,-0.18142362,0.06578609,0.08110858,0.10349585,0.36467212,0.14655402,-0.036244083,-0.3681128,-0.057276327,-0.012561558,-0.15608373,-0.41456312,0.42182073,-0.25771368,-0.2633851,-0.007954282,-0.21962617,-0.14769013,0.39461333,-0.24921091,0.22248864,-0.085330084,-0.16692527,0.3404899,-0.32849818,0.008154444,-0.060798716,0.20158592,0.5814128,0.072390236,0.16803026,-0.37313098,-0.0069074426,0.38733685,0.29211468,0.03403364,0.30258095,0.4518952,-0.55733764,-0.26454645,-0.3937649,-0.047967024,0.3895244,-0.15745449,-0.33544964,0.029155886
202401,RAM,DET,DET,-0.21900621,0.092545964,0.17410442,-0.13776575,-0.090072036,-0.31206948,0.38714272,0.15750168,-0.47183332,-0.01683496,0.2332836,-0.0243318,-0.09658206,0.14519598,0.13854954,0.09679834,-0.1907698,0.21892066,-0.41723162,0.33985424,0.04719063,-0.04610252,-0.23509659,0.117613874,-0.056794908,-0.5471093,-0.0006971615,0.21940048,-0.21317823,0.07445212,0.006883391,-0.23780753,-0.31092992,0.028020926,0.13783179,-0.12277317,0.061868843,-0.3878107,0.16685638,-0.27028203,0.008139274,0.29641417,0.02319011,0.4206504,0.10529443,0.0181438,0.26515982,0.17073557,0.60267824,-0.29938295,-0.18003589,0.29478446,0.2545715,-0.15913527,-0.29018354,0.25107962,0.01791034,0.12967317,-0.22443792,0.378855,-0.13371861,0.5246603,-0.30281612,0.70531577
202401,NYJ,SFO,SFO,0.3470065,0.08602412,0.10755658,0.28292167,0.23092985,0.18089107,-0.2745983,-0.14095514,0.09660903,-0.12628098,-0.07194968,-0.020409517,0.07296761,-0.23246528,-0.19638604,-0.04243361,0.54737407,-0.05104632,0.07261876,-0.22334662,-0.19558316,0.029723255,-0.15772513,-0.36121824,0.28647152,0.39156076,0.17646974,-0.23252226,-0.26463863,0.17553392,-0.022836572,0.32492593,0.18362984,0.16312882,-0.12774967,-0.07381268,0.5771074,-0.04177597,0.16603068,-0.0025640929,-0.34673095,0.09714379,-0.051922508,-0.091625184,-0.199803,0.21999827,0.27930644,0.23511645,-0.048145983,-0.010401473,-0.11510658,0.26904872,0.14383984,0.1521571,0.29952317,0.17634588,-0.19504881,-0.37609965,-0.16577335,-0.24189545,0.14401607,-0.25276664,0.3940555,0.061410006
202401,OTI,CHI,CHI,0.11939657,-0.055278756,0.030071517,0.45682508,0.0028748186,-0.36227828,-0.06119799,-0.3725404,0.26739368,0.12774588,-0.22852549,0.4971677,0.074326925,-0.12245219,0.03716572,0.08984835,0.53234535,-0.36504665,-0.045312054,0.14058383,0.26353094,-0.11686528,-0.42599627,-0.112096556,0.43077064,0.19672972,0.20796423,0.08238521,0.044672053,0.2762995,-0.21040232,0.84002423,-0.29443255,-0.4778109,-0.10396875,0.20263189,-0.3043951,-0.10591195,-0.5563517,-0.18572344,0.4960112,0.28936243,-0.22571714,0.3484037,0.2566706,0.10375885,0.2113781,-0.115352385,0.14057279,-0.5594121,0.18100655,-0.15835506,-0.014698575,-0.14426522,-0.1451629,-0.08244624,-0.12997338,0.29342434,-0.12383273,0.010066828,0.6431849,0.1329292,-0.56167924,0.3360488
202401,JAX,MIA,MIA,-0.022381196,-0.1036706,0.18996595,0.3064264,-0.23807266,0.09735678,-0.31426483,-0.048916996,0.26466334,-0.112425834,-0.10287288,0.120336905,0.13637237,-0.14078356,-0.21711197,-0.24025434,0.016698094,-0.15196477,0.10514741,-0.32871273,-0.34797814,-0.24613965,-0.36374894,-0.5387894,0.11172028,0.463917,0.3547073,0.048912037,-0.26713216,0.07868773,-0.5930735,0.04601357,0.23349617,0.077058025,0.10080262,0.10937047,0.03589554,-0.007082073,0.01724321,0.0338157,0.35111848,0.014106419,0.18663342,0.16871442,0.017269481,-0.21459317,-0.15684666,-0.09221791,0.24427134,0.3104765,0.2976322,0.0850331,0.2951656,0.02719302,0.22324254,-0.06620252,0.58041203,0.06560587,0.2461698,-0.15679993,-0.19790006,-0.20781024,0.4271046,0.40388724
202401,NWE,CIN,NWE,-0.07204666,-0.13726673,0.042887192,-0.26129356,0.47141546,-0.07179982,-0.19741702,0.30426013,-0.025005506,0.18390644,-0.45823163,-0.11286171,-0.14030775,0.2445464,0.1870742,0.17321812,-0.3089907,-0.19082794,0.41254258,0.0175421,-0.1677726,-0.10764411,0.54240644,-0.08987105,-0.35079473,-0.19795279,-0.15816608,-0.12840392,0.20427486,-0.54148,-0.0774968,-0.2153233,-0.14567502,-0.24829878,0.09988925,0.20604046,0.49443227,-0.22642829,-0.077472195,0.16906677,-0.15808356,0.5124479,0.3069102,-0.035163008,0.13035993,0.16340074,0.33682632,0.08038357,0.32445225,0.39501262,0.035929717,0.27455676,0.20673236,-0.03345614,0.29364893,0.36238423,-0.04061781,-0.30337203,-0.13151844,-0.06777882,0.110684484,-0.14818735,0.19913508,0.4616798
202401,HTX,CLT,HTX,-0.4952996,-0.09040585,-0.20839311,-0.032705773,0.16639857,-0.20418209,0.22514969,-0.26918733,0.29229006,0.2819482,-0.33492577,0.3097751,-0.0068794247,0.013195364,0.44904783,0.16440593,0.25697535,-0.4083468,0.31123483,0.18199053,0.4054345,0.17086352,0.114448935,0.38455603,-0.11253085,0.20581514,-0.2623405,0.20618492,0.30631778,0.069203906,-0.29369706,0.38131917,-0.18828669,-0.2346168,0.32665005,0.14043954,-0.41449097,-0.23038189,-0.13223086,0.043068536,0.12388549,-0.0037457042,0.12164753,0.3065076,-0.12229836,-0.09071154,-0.025274629,-0.003793859,-0.019644694,0.061221715,0.114984594,-0.08103163,-0.029949617,-0.06428101,-0.30195773,-0.3016144,0.4923931,0.08103482,0.31223285,0.15480989,-0.066102006,0.07985976,-0.082910426,0.04698706
202401,DAL,CLE,DAL,0.45342284,0.33682323,-0.10603356,0.060884133,-0.13053265,0.2237391,-0.14264838,-0.3082348,0.44927546,-0.30484757,-0.027642155,0.028875642,-0.08515377,0.071701765,0.23887272,-0.01953948,0.14728624,-0.36672553,0.089477085,-0.12316825,0.2708695,0.15223727,-0.15538646,-0.12145391,0.22753002,0.21696778,-0.17643762,-0.3873888,0.38198382,-0.0571214,0.12256547,0.14831936,0.07529833,0.006063675,-0.060379986,0.35636955,-0.3076538,0.22049369,-0.24734856,-0.22860096,0.3741169,-0.21771677,-0.12650093,0.0070587625,0.12206307,-0.22441408,0.003930255,-0.15679164,0.27167362,-0.19691066,0.157029,-0.33043504,-0.18183076,0.054295626,-0.41332513,-0.37250116,0.2366826,0.4718652,0.19277942,-0.104448274,0.08995356,0.15762964,-0.32988018,0.20310262
202401,GNB,PHI,PHI,-0.01147415,-0.0015117876,0.16794917,0.04369725,-0.4427858,-0.08448117,-0.12504661,0.061404623,-0.1336185,-0.23856875,-0.32112902,0.023594266,-0.14612958,0.19632548,-0.017288655,-0.0014394404,-0.41589937,-0.49166253,-0.21769999,-0.150878,-0.29265514,-0.19627681,-0.43688023,-0.245979,-0.13035855,-0.1557524,0.048999712,0.15556623,0.1683484,-0.021210201,-0.53352773,-0.47153488,-0.14955345,0.05874448,0.22016868,-0.0050880765,-0.21735288,-0.35299802,0.11436774,0.09056069,0.16990256,0.054058906,0.0065787416,0.32262534,-0.043188296,-0.14798181,-0.19222204,-0.05938416,-0.36149698,0.17655055,0.11425262,0.25262177,0.012444075,-0.19825049,-0.27848253,-0.4025445,0.3098103,-0.16919135,0.49652973,0.08428635,-0.2783446,-0.17733079,-0.04625323,-0.051870093
202401,PIT,ATL,PIT,0.3103361,0.2717827,-0.14834003,0.008240308,0.5024613,-0.11399992,0.2076435,-0.18888009,-0.08733499,0.016757615,-0.14258312,0.12728131,-0.19056167,0.043207686,0.27729943,0.2546229,0.33668256,-0.15121955,-0.08386862,0.31514993,0.352608,0.20651299,0.1679175,0.18245031,0.14213397,-0.19361733,-0.15522335,-0.20936966,0.11080174,-0.12898408,0.42431223,0.392566,0.012668931,-0.17541586,0.098840296,0.08909971,0.6166858,-0.23643064,0.18513653,0.16421713,-0.23888656,0.3849352,0.034261785,0.079428926,-0.030393988,-0.083698615,-0.028441371,0.19525051,0.2638603,0.2734395,0.005913832,0.21093772,0.029151317,-0.03791454,0.1414082,0.10989848,0.052655954,-0.24975035,-0.027593287,0.23335928,-0.35394216,-0.20475923,0.105008066,0.38733318
